Generated by http://statistics.gov.scot,2021-12-13T20:45:35+00:00
http://statistics.gov.scot/data/pupil-attainment,Pupil Attainment
measure type,Count
Reference Period,2012/2013
Number Of Awards,5
SCQF Level,6 And Above
Secondary School Stage,S6
Measure (cell values): ,Count(Pupils)

,,http://statistics.gov.scot/def/concept/gender/all,http://statistics.gov.scot/def/concept/gender/female,http://statistics.gov.scot/def/concept/gender/male
http://statistics.gov.scot/id/statistical-geography/S13002565,Campsie and Kirkintilloch North,57,36,21
http://statistics.gov.scot/id/statistical-geography/S13002656,Canal,40,24,16
http://statistics.gov.scot/id/statistical-geography/S13002673,Caol and Mallaig,31,17,14
http://statistics.gov.scot/id/statistical-geography/S13002512,Carnoustie and District,32,21,11
http://statistics.gov.scot/id/statistical-geography/S13002738,Carse of Gowrie,31,17,14
http://statistics.gov.scot/id/statistical-geography/S13002612,"Carse, Kinnaird and Tryst",88,55,33
http://statistics.gov.scot/id/statistical-geography/S13002810,Castle,18,9,9
http://statistics.gov.scot/id/statistical-geography/S13002536,Castle Douglas and Glenkens,37,20,17
http://statistics.gov.scot/id/statistical-geography/S13002492,Central Buchan,33,26,7
http://statistics.gov.scot/id/statistical-geography/S13002593,City Centre,20,9,11
http://statistics.gov.scot/id/statistical-geography/S13002529,Clackmannanshire Central,15,4,11
http://statistics.gov.scot/id/statistical-geography/S13002531,Clackmannanshire East,20,13,7
http://statistics.gov.scot/id/statistical-geography/S13002528,Clackmannanshire North,34,21,13
http://statistics.gov.scot/id/statistical-geography/S13002530,Clackmannanshire South,27,16,11
http://statistics.gov.scot/id/statistical-geography/S13002527,Clackmannanshire West,30,21,9
http://statistics.gov.scot/id/statistical-geography/S13002818,Clydebank Central,40,22,18
http://statistics.gov.scot/id/statistical-geography/S13002819,Clydebank Waterfront,38,21,17
http://statistics.gov.scot/id/statistical-geography/S13002789,Clydesdale East,45,23,22
http://statistics.gov.scot/id/statistical-geography/S13002788,Clydesdale North,41,30,11
http://statistics.gov.scot/id/statistical-geography/S13002790,Clydesdale South,23,14,9
http://statistics.gov.scot/id/statistical-geography/S13002787,Clydesdale West,58,38,20
http://statistics.gov.scot/id/statistical-geography/S13002717,Coatbridge North and Glenboig,51,31,20
http://statistics.gov.scot/id/statistical-geography/S13002721,Coatbridge South,25,14,11
http://statistics.gov.scot/id/statistical-geography/S13002720,Coatbridge West,48,29,19
http://statistics.gov.scot/id/statistical-geography/S13002548,Coldside,33,20,13
http://statistics.gov.scot/id/statistical-geography/S13002590,Colinton / Fairmilehead,110,59,51
http://statistics.gov.scot/id/statistical-geography/S13002588,Corstorphine / Murrayfield,47,22,25
http://statistics.gov.scot/id/statistical-geography/S13002521,Cowal,19,13,6
http://statistics.gov.scot/id/statistical-geography/S13002625,Cowdenbeath,21,9,12
http://statistics.gov.scot/id/statistical-geography/S13002596,Craigentinny / Duddingston,55,39,16
http://statistics.gov.scot/id/statistical-geography/S13002644,Craigton,60,39,21
http://statistics.gov.scot/id/statistical-geography/S13002668,Cromarty Firth,23,16,7
http://statistics.gov.scot/id/statistical-geography/S13002679,Culloden and Ardersier,38,18,20
http://statistics.gov.scot/id/statistical-geography/S13002713,Cumbernauld North,91,56,35
http://statistics.gov.scot/id/statistical-geography/S13002714,Cumbernauld South,69,44,25
http://statistics.gov.scot/id/statistical-geography/S13002560,Cumnock and New Cumnock,45,22,23
http://statistics.gov.scot/id/statistical-geography/S13002638,Cupar,42,24,18
http://statistics.gov.scot/id/statistical-geography/S13002692,Dalkeith,19,9,10
http://statistics.gov.scot/id/statistical-geography/S13002709,Dalry and West Kilbride,42,21,21
http://statistics.gov.scot/id/statistical-geography/S13002535,Dee,33,16,17
http://statistics.gov.scot/id/statistical-geography/S13002611,Denny and Banknock,46,26,20
http://statistics.gov.scot/id/statistical-geography/S13002670,Dingwall and Seaforth,54,27,27
http://statistics.gov.scot/id/statistical-geography/S13002561,Doon Valley,24,13,11
http://statistics.gov.scot/id/statistical-geography/S13002585,Drum Brae / Gyle,77,35,42
http://statistics.gov.scot/id/statistical-geography/S13002654,Drumchapel / Anniesland,53,33,20
http://statistics.gov.scot/id/statistical-geography/S13002816,Dumbarton,47,21,26
http://statistics.gov.scot/id/statistical-geography/S13002576,Dunbar and East Linton,61,39,22
http://statistics.gov.scot/id/statistical-geography/S13002809,Dunblane and Bridge of Allan,102,52,50
http://statistics.gov.scot/id/statistical-geography/S13002620,Dunfermline Central,57,31,26
http://statistics.gov.scot/id/statistical-geography/S13002619,Dunfermline North,42,22,20
http://statistics.gov.scot/id/statistical-geography/S13002621,Dunfermline South,70,38,32
http://statistics.gov.scot/id/statistical-geography/S13002522,Dunoon,17,10,7
http://statistics.gov.scot/id/statistical-geography/S13002476,Dyce / Bucksburn / Danestone,33,15,18
http://statistics.gov.scot/id/statistical-geography/S13002767,East Berwickshire,29,13,16
http://statistics.gov.scot/id/statistical-geography/S13002658,East Centre,36,24,12
http://statistics.gov.scot/id/statistical-geography/S13002551,East End,14,10,4
http://statistics.gov.scot/id/statistical-geography/S13002500,East Garioch,23,10,13
http://statistics.gov.scot/id/statistical-geography/S13002794,East Kilbride Central North,69,39,30
http://statistics.gov.scot/id/statistical-geography/S13002793,East Kilbride Central South,37,16,21
http://statistics.gov.scot/id/statistical-geography/S13002796,East Kilbride East,32,13,19
http://statistics.gov.scot/id/statistical-geography/S13002792,East Kilbride South,29,21,8
http://statistics.gov.scot/id/statistical-geography/S13002795,East Kilbride West,98,50,48
http://statistics.gov.scot/id/statistical-geography/S13002824,East Livingston and East Calder,50,28,22
http://statistics.gov.scot/id/statistical-geography/S13002736,"East Mainland, South Ronaldsay and Burray",14,11,3
http://statistics.gov.scot/id/statistical-geography/S13002637,East Neuk and Landward,40,23,17
http://statistics.gov.scot/id/statistical-geography/S13002666,East Sutherland and Edderton,15,10,5
http://statistics.gov.scot/id/statistical-geography/S13002672,Eilean a' Chèo,21,13,8
http://statistics.gov.scot/id/statistical-geography/S13002701,Elgin City North,23,16,7
http://statistics.gov.scot/id/statistical-geography/S13002702,Elgin City South,23,11,12
http://statistics.gov.scot/id/statistical-geography/S13002497,Ellon and District,46,27,19
http://statistics.gov.scot/id/statistical-geography/S13002760,Erskine & Inchinnan,73,48,25
http://statistics.gov.scot/id/statistical-geography/S13002573,Fa'side,50,33,17
http://statistics.gov.scot/id/statistical-geography/S13002614,Falkirk North,46,32,14
http://statistics.gov.scot/id/statistical-geography/S13002615,Falkirk South,41,22,19
http://statistics.gov.scot/id/statistical-geography/S13002825,Fauldhouse and the Breich Valley,36,21,15
http://statistics.gov.scot/id/statistical-geography/S13002699,Fochabers Lhanbryde,38,19,19
http://statistics.gov.scot/id/statistical-geography/S13002510,Forfar and District,45,30,15
http://statistics.gov.scot/id/statistical-geography/S13002703,Forres,61,34,27
http://statistics.gov.scot/id/statistical-geography/S13002683,Fort William and Ardnamurchan,28,17,11
http://statistics.gov.scot/id/statistical-geography/S13002586,Forth,55,31,24
http://statistics.gov.scot/id/statistical-geography/S13002808,Forth and Endrick,84,52,32
http://statistics.gov.scot/id/statistical-geography/S13002723,Fortissat,37,25,12
http://statistics.gov.scot/id/statistical-geography/S13002591,Fountainbridge / Craiglockhart,49,26,23
http://statistics.gov.scot/id/statistical-geography/S13002491,Fraserburgh and District,36,18,18
http://statistics.gov.scot/id/statistical-geography/S13002763,Galashiels and District,46,31,15
http://statistics.gov.scot/id/statistical-geography/S13002653,Garscadden / Scotstounhill,54,29,25
http://statistics.gov.scot/id/statistical-geography/S13002483,George St / Harbour,5,4,1
http://statistics.gov.scot/id/statistical-geography/S13002579,Giffnock and Thornliebank,88,54,34
http://statistics.gov.scot/id/statistical-geography/S13002786,Girvan and South Carrick,27,17,10
http://statistics.gov.scot/id/statistical-geography/S13002633,Glenrothes Central and Thornton,39,26,13
http://statistics.gov.scot/id/statistical-geography/S13002632,"Glenrothes North, Leslie and Markinch",42,21,21
http://statistics.gov.scot/id/statistical-geography/S13002631,Glenrothes West and Kinglassie,43,26,17
http://statistics.gov.scot/id/statistical-geography/S13002645,Govan,29,21,8
http://statistics.gov.scot/id/statistical-geography/S13002610,Grangemouth,39,21,18
http://statistics.gov.scot/id/statistical-geography/S13002643,Greater Pollok,106,58,48
http://statistics.gov.scot/id/statistical-geography/S13002575,Haddington and Lammermuir,53,35,18
http://statistics.gov.scot/id/statistical-geography/S13002803,Hamilton North and East,31,14,17
http://statistics.gov.scot/id/statistical-geography/S13002805,Hamilton South,68,43,25
http://statistics.gov.scot/id/statistical-geography/S13002804,Hamilton West and Earnock,44,22,22
http://statistics.gov.scot/id/statistical-geography/S13002770,Hawick and Denholm,20,11,9
http://statistics.gov.scot/id/statistical-geography/S13002771,Hawick and Hermitage,20,11,9
http://statistics.gov.scot/id/statistical-geography/S13002485,Hazlehead / Ashley / Queens Cross,48,21,27
http://statistics.gov.scot/id/statistical-geography/S13002700,Heldon and Laich,44,29,15
http://statistics.gov.scot/id/statistical-geography/S13002525,Helensburgh Central,28,13,15
http://statistics.gov.scot/id/statistical-geography/S13002526,Helensburgh and Lomond South,26,14,12
http://statistics.gov.scot/id/statistical-geography/S13002741,Highland,20,11,9
http://statistics.gov.scot/id/statistical-geography/S13002651,Hillhead,35,14,21
http://statistics.gov.scot/id/statistical-geography/S13002480,Hilton / Woodside / Stockethill,17,11,6
http://statistics.gov.scot/id/statistical-geography/S13002758,"Houston, Crosslee & Linwood",72,35,37
http://statistics.gov.scot/id/statistical-geography/S13002634,Howe of Fife and Tay Coast,44,25,19
http://statistics.gov.scot/id/statistical-geography/S13002502,"Huntly, Strathbogie and Howe of Alford",40,23,17
http://statistics.gov.scot/id/statistical-geography/S13002684,Inverclyde East,37,24,13
http://statistics.gov.scot/id/statistical-geography/S13002685,Inverclyde East Central,35,21,14
http://statistics.gov.scot/id/statistical-geography/S13002686,Inverclyde North,47,31,16
http://statistics.gov.scot/id/statistical-geography/S13002687,Inverclyde South,20,13,7
http://statistics.gov.scot/id/statistical-geography/S13002689,Inverclyde South West,44,27,17
http://statistics.gov.scot/id/statistical-geography/S13002688,Inverclyde West,61,41,20
http://statistics.gov.scot/id/statistical-geography/S13002623,Inverkeithing and Dalgety Bay,72,38,34
http://statistics.gov.scot/id/statistical-geography/S13002587,Inverleith,58,35,23
http://statistics.gov.scot/id/statistical-geography/S13002676,Inverness Central,25,17,8
http://statistics.gov.scot/id/statistical-geography/S13002678,Inverness Millburn,33,27,6
http://statistics.gov.scot/id/statistical-geography/S13002677,Inverness Ness-Side,39,21,18
http://statistics.gov.scot/id/statistical-geography/S13002681,Inverness South,74,39,35
http://statistics.gov.scot/id/statistical-geography/S13002675,Inverness West,15,10,5
http://statistics.gov.scot/id/statistical-geography/S13002499,Inverurie and District,33,20,13
http://statistics.gov.scot/id/statistical-geography/S13002705,Irvine East,46,33,13
http://statistics.gov.scot/id/statistical-geography/S13002558,Irvine Valley,53,27,26
http://statistics.gov.scot/id/statistical-geography/S13002704,Irvine West,39,21,18
http://statistics.gov.scot/id/statistical-geography/S13002523,Isle of Bute,14,9,5
http://statistics.gov.scot/id/statistical-geography/S13002769,Jedburgh and District,18,10,8
http://statistics.gov.scot/id/statistical-geography/S13002757,"Johnstone North, Kilbarchan & Lochwinnoch",27,13,14
